ID,Shloka,Translation,Time and Era,Celestial Objects/Mechanics,Ancient Astronomical Observations,Modern Scientific Understanding,Correlation Concepts,Cosmic Insights,NEP Correlation
107,"तावद्ब्रह्माण्डगोलोऽयं खर्णाभोऽन्तस्तमोवृतः । 
वेदत्र्त्वष्टाभ्रनागाभदखेन्द्रव्यष्टभूमयः ॥ ५६ ॥","This globe of the universe, with the air-filled space inside, is supported by the North Pole, facing west and moving around with one axle.",4th/5th Century CE,Cosmology,"Describes the cosmic sphere as spherical, surrounding outer darkness, with metaphorical references to Vedic knowledge, serpent-clouds, and cosmic expanses.",Symbolizes cosmological beliefs and the vastness of the universe.,North Pole Support,Axial Rotation,This shloka correlates with NEP by emphasizing the symbolic integration of Vedic knowledge into the understanding of cosmic phenomena. It aligns with the NEP's encouragement of exploring traditional wisdom in astronomy.
108,"तदन्तः प्रवहाकाशवायुगोलो ध्रुवाश्रयात् । 
पश्चिमाभिमुखं शश्वद्भ्भ्रमत्या क्षैककेण सः ॥ ५८ ॥","Inside this, there is the space filled with air, supported by the North Pole, always facing west, moving around with one axle.",4th/5th Century CE,Celestial Structure," Describes the perpetual motion of space, air, and the celestial sphere, attributing their motion to Dhruva (Pole Star).","Aligns with the understanding of Earth's atmosphere, celestial sphere, and their perpetual motion, with the mention of the Pole Star guiding direction.",North Pole Support,Axial Rotation,This shloka correlates with NEP by emphasizing the integration of traditional cosmological knowledge with modern astrophysical concepts. It aligns with the NEP's encouragement of interdisciplinary studies.
109,"तौ याम्योत्तरगतौ स्थिरौ । ध्रुवावच
दिनेन
दिक्स्थानरूपौ सततं भगवच्छक्तितः स्थितौ ॥ ५८ ॥","Those two (the North Pole and the South Pole) remain fixed at the top and bottom, like the axle of a chariot, always in their respective directional positions due to the constant power of the divine.",4th/5th Century CE,Celestial Poles,Acknowledges the stability of the Northern and Southern celestial poles and attributes it to the divine power of the Lord.,"Aligns with the astronomical understanding of the stability of celestial poles due to Earth's rotation, devoid of divine attribution.",Celestial Dynamics,Axial Stability,"This shloka correlates with NEP by emphasizing the significance of stable celestial positions, blending traditional beliefs with modern scientific understanding. It aligns with the NEP's encouragement of preserving traditional knowledge."
110,"ध्रुवस्थानात् तु तद्वगोले वृत्तं यत् खाङ्कभागकैः ।
 विषुवन्मण्डलं तत् स्यात् ततः खखापमांशकैः ॥ ६० ॥","From the position of Dhruva (Pole Star) on that globe, a circle is formed by the division of the sky, and that becomes the 'Vishuva Mandal' (equator), and from there, (the circle) is divided by 'Khakha' parts.",4th/5th Century CE,Celestial Sphere,"Describes the formation of the Zodiac from the Dhruva region, with luminaries arranged in the shape of an elephant goad, marked by divisions.","Aligns with the astronomical understanding of the Zodiac, consisting of constellations and divisions, albeit without the connection to the shape of an elephant goad.",Celestial Dynamics,Equatorial Division,"This shloka correlates with NEP by emphasizing the observational significance of celestial arrangements, integrating traditional concepts into modern astronomical understanding. It aligns with the NEP's encouragement of combining traditional and scientific knowledge in astrophysics."
111,"अथ यो वा कमानादुच्यते न तत्प्रमाणतस्तदुदयान्त- रमपि ।
सत्यासत्यासुमानाभ्यामुद्गमासन्नकालयोः । भिन्नप्रमाणसिद्ध्याऽतो विजातीयौ गणौ तव ॥ ३७॥","What is asserted as a particular thing (middle moon) is not established from the evidence. Hence, there are two classes, 'truth' and 'falsehood.' Your two classes are of different kinds.",4th/5th Century CE,Lunar Phenomena,"Emphasizes the importance of evidence and standard measures, hinting at varying measures in the sets of species.","Aligns with the scientific approach, emphasizing the need for evidence and standard measures in any scientific classification or categorization.",Classification Theory,Ambiguity in Astronomical Assertions,This shloka correlates with NEP by emphasizing the scientific method and evidence-based practices in astrophysics. It aligns with the NEP's encouragement of empirical research and evidence-driven education.
112,"अखन्तरं तु तत्रस्यं न हि मूढ गणान्तरम् । 
विजातीयग्रहान्तर्नाप्येवमवन्तरोद्भवम् ॥ ३८ ॥","In the case of the middle (moon), there is no interval; it is not different from the outer. There is no internal generation as in the case of different species.",4th/5th Century CE,Lunar Phenomena,"Denies the existence of a void or another ignorant set internally, but acknowledges internal generation.","Contradicts the modern understanding of space, where the absence of celestial bodies in certain regions is not considered void. The concept of internal generation is metaphorical.",Lunar Homogeneity,Consistency in Celestial Bodies,This shloka correlates with the NEP's emphasis on fostering a holistic and inclusive education system. 
113,"यावत्यो गतयः कल्पे तावन्तः सूर्य सावनाः । उक्तयुक्त्यैव तद्योगे भगणा भभ्रमा, अपि ॥ ४० ॥""","The time has moved without motion, resembling the motion of a song. The middle sun has been recognized as similar to its own transit, without the aid of motion.",4th/5th Century CE,Solar Phenomena,Acknowledges the ongoing motions of the sun and moon within a Kalpa (cosmic cycle) but states the uncertainty in their movements.,"Aligns with the understanding of celestial bodies' continuous motion in their orbits, with a recognition of uncertainties in their paths.",Solar Movement,Perception of Celestial Motion,This shloka correlates with NEP by emphasizing the ongoing research and uncertainties in astrophysical predictions. It aligns with the NEP's encouragement of research on evolving scientific knowledge.
114,"मध्यार्क केवल गतेश्चलनं सदैक-
सहू दिनेऽस्ति हिरवेरुदयान्तरान्न ॥ ४२ ॥",The middle sun always moves uniformly; there is no interval in it until the green sun rises.,4th/5th Century CE,Solar Phenomena,Describes the sun's motion in the middle and the continuous existence of daytime from the sun to the horizon.,Aligns with the scientific understanding of the sun's apparent motion in the sky and the resulting daytime.,Solar Dynamics,Uniform Solar Movement, This shloka correlates with NEP by depicting an observational aspect related to the sun's motion. It aligns with the NEP's encouragement of connecting traditional observations with modern scientific understanding.
115,"अखात्मकं यत् त्वसदस्त्यहो तद्-
वशादयं सिद्ध इति प्रकल्प्य । मिथ्यैव खेटेऽन्तरमामनन्ति
प्रायोऽत्र गोलं न विदन्ति तेऽज्ञाः ॥ ४३ ॥","There is nothing non-existent, it is said to be real because of control. Ignorant people do not realize this, as they lack knowledge of scriptures.",4th/5th Century CE,Cosmic Reality,Describes the illusion of the material world., Relates to the nature of cosmic phenomena and the illusion of the observable universe.,Control of Existence,Reality through Understanding,This shloka corelates with NEP 2023 by emphasizing the need to distinguish between reality and illusion in the study of astrophysics.
116,"फलार्थं युग मन्वादिकल्पना कदिनादितः । 
सृष्ट्यादेर्न हि किन्तर्हि ग्रहाद्यानयनं ततः ॥ ४४ ॥","The imagining of the Yugas, Manus, and the like, are for practical purposes. In the creation, etc., there is no necessity for the motion of planets.",4th/5th Century CE,Conceptual Frameworks,Practical Utility of Concepts,Non-Necessity of Planetary Motion,Practical Cosmology,Utilitarian Astronomical Concepts,This shloka corelates with NEP 2023 in advocating the integration of traditional cosmic knowledge into modern astrophysics education.
117,"कदिनादेः कथं चिन्न कार्यः खेटा दिनिर्णयः । 
इत्यर्कशास्त्रप्रामाण्यात् स्पष्टं ज्ञेयं विजानता ॥ ४५ ॥","The science (shastra) is proven from the authority of scriptures. Clearly, those who understand the rules see no flaw in the sphere.",4th/5th Century CE,Scientific Authority,Rules of Celestial Bodies,Shastra as Authority,Scientific Validation,Celestial Science,"This shloka corelates with NEP 2023 by emphasizing the integration of traditional timekeeping methods, based on the sun, into contemporary astrophysics research."
118,"कृतान्तेऽस्मिन् ब्रह्मदिनाङ्गता ये सौरवत्सराः । 
प्रोज्झ्य सृष्टेस्ततः फालं सौराब्दैः शेषसंमिताः ॥ ४६ ॥","Those solar years from the end of the creation of the cosmos, having elapsed, now at the beginning of the Brahma day, are like the remaining moments of the solar year.",4th/5th Century CE,Cosmic Time,Cycles of Creation,Alignment with Creation Cycles,Cosmic Time Scale,Solar Year and Cosmic Cycles,This shloka corelates with NEP 2023 in encouraging research on ancient cosmic concepts and their relevance in modern astrophysics.
119,"कृतान्ते सृष्टिवक्कात् स्युः सौराब्दास्ते गता अमी ।
 खचतुष्कयमाद्र्यग्निगर रम्न निशाकराः ॥ ४७ ॥","At the end of creation, all the solar years have elapsed, and at the beginning of the Brahma day, the four stars (planets) have gone away in the southwest, the sun towards the west, and the moon in the northeast.",4th/5th Century CE,Celestial Positions,Planetary Movements,Relative Positions of Celestial Bodies,Celestial Positions at Cosmic Events,Solar System at Creation,This shloka corelates with NEP 2023 by emphasizing the exploration of ancient cosmological concepts in understanding the life cycle of celestial bodies.
120,". अथ यो वा कमानादुच्यते न तत्प्रमाणतस्तदुदयान्त- रमपि ।
सत्यासत्यासुमानाभ्यामुद्गमासन्नकालयोः । भिन्नप्रमाणसिद्ध्याऽतो विजातीयौ गणौ तव ॥ ३७॥","If it is asserted that a middle moon exists, there is no proof of that, even though it may seem to rise and set. Understanding the truth and falsehood of its existence cannot be established based on such appearances.",4th/5th Century CE,"Lunar Phases, Orbits",Middle Moon,Lack of Evidence for Middle Moon,Celestial Phenomena,Lunar Observation Challenges,This shloka corelates with NEP 2023 by highlighting the importance of empirical evidence and scientific proof in astrophysical research.
121,"अखन्तरं तु तत्रस्यं न हि मूढ गणान्तरम् ।
 विजातीयग्रहान्तर्नाप्येवमवन्तरोद्भवम् ॥ ३८ ॥","However, in the case of the middle moon, there is no internal interval; it is not different from the outer moon. There is no internal generation as in the case of different species.",4th/5th Century CE,Lunar Structures,Middle Moon Structure,No Internal Generation,Celestial Phenomena,Moon's Internal Structure,This shloka corelates with NEP 2023 by emphasizing the need for specialized knowledge within specific domains of astrophysics research.
122,"यावत्यो गतयः कल्पे तावन्तः सूर्य सावनाः । उक्तयुक्त्यैव तद्योगे भगणा भभ्रमा, अपि ॥ ४० ॥""""कालो गतेर्गतिसमं चलने बिना नो
गायैव मेपवदनाज्ञ्चलनादिहान्तः ।","As long as the cycles last, the sun and the moon continue their respective motions. The middle sun moves uniformly in its own orbit, resembling its transit without apparent motion.",4th/5th Century CE,Solar and Lunar Cycles,Uniform Motion of Middle Sun,Cyclic Motions of Sun and Moon,Celestial Phenomena,Solar and Lunar Orbits,This shloka corelates with NEP 2023 by highlighting the importance of consistent scientific principles and predictions in astrophysics research.
123,"मध्यार्क केवल गतेश्चलनं सदैक-
सहू दिनेऽस्ति हिरवेरुदयान्तरान्न ॥ ४२ ॥",The middle sun always moves uniformly; there is no interval in it until the green sun rises.,4th/5th Century CE,Solar Motion,Uniform Motion of Middle Sun,No Interval in Middle Sun's Motion,Celestial Phenomena,Solar Motion Understanding,This shloka corelates with NEP 2023 by emphasizing the understanding of consistent and continuous phenomena in astrophysics research.
124,"अखात्मकं यत् त्वसदस्त्यहो तद्-
वशादयं सिद्ध इति प्रकल्प्य ।
 मिथ्यैव खेटेऽन्तरमामनन्ति
प्रायोऽत्र गोलं न विदन्ति तेऽज्ञाः ॥ ४३ ॥",Your object is nonexistent; the sphere (middle moon) is imagined due to projection and does not exist. Those who lack knowledge do not understand the celestial sphere here.,4th/5th Century CE,Lunar Sphere,Nonexistence of Imaginary Celestial Sphere,Lack of Knowledge about Celestial Sphere,Celestial Phenomena,Imaginary Celestial Objects,This shloka corelates with NEP 2023 by emphasizing the need to distinguish between reality and illusion in the study of astrophysics.
125,"फलार्थं युग मन्वादिकल्पना कदिनादितः । 
सृष्ट्यादेर्न हि किन्तर्हि ग्रहाद्यानयनं ततः ॥ ४४ ॥""","Imagining Yugas, Manus, etc., serves a practical purpose. There is no necessity for the motion of planets in the creation process.",4th/5th Century CE,Celestial Cycles,Imaginary Nature of Yugas and Manus,Planetary Motion Not Essential,Practical Astronomical Concepts,Celestial Cycles and Imaginations,This shloka corelates with NEP 2023 by acknowledging the importance of theoretical frameworks and imagination in formulating hypotheses in astrophysics.
126,"कदिनादेः कथं चिन्न कार्यः खेटा दिनिर्णयः ।
 इत्यर्कशास्त्रप्रामाण्यात् स्पष्टं ज्ञेयं विजानता ॥ ४५ ॥","How can there be any action of the field (universe) without the measurement of time? From the authoritative science (astronomy), it is clear that they know it.",4th/5th Century CE,Temporal Measurement,Need for Time Measurement in Celestial Observations,Temporal Measurement in Celestial Actions,Celestial Phenomena,Temporal Measurement in Astronomy,"This shloka corelates with NEP 2023 by recognizing the importance of interdisciplinary approaches, such as astrological science, in astrophysics research."
127,"कृतान्तेऽस्मिन् ब्रह्मदिनाङ्गता ये सौरवत्सराः ।
 प्रोज्झ्य सृष्टेस्ततः फालं सौराब्दैः शेषसंमिताः ॥ ४६ ॥",Those solar years are indeed Brahmadina-like at the end which are present after the completion of solar cycles; the remaining part is like the solar year.,4th/5th Century CE,Solar Years,Solar Years Resembling Brahmadina,Concept of Solar Cycles and Years,Celestial Phenomena,Understanding Solar Cycles,This shloka corelates with NEP 2023 by emphasizing the importance of understanding cosmic timescales in astrophysics research.
128,"कृतान्ते सृष्टिवक्कात् स्युः सौराब्दास्ते गता अमी । 
खचतुष्कयमाद्र्यग्निगर रम्न निशाकराः ॥ ४७ ॥","At the end of the creation, solar years (are formed) from the revolution of the sun. Then the planets, together with the four stars, proceed with their orbits in the sky.",4th/5th Century CE,Solar Years Formation,Planetary Orbits at the End of Creation,Solar Years and Planetary Orbits,Celestial Phenomena,End of Creation Observations,This shloka corelates with NEP 2023 by emphasizing the importance of considering diverse units of time in astrophysical research.
129,"मध्यार्कचक्रं यदा प्रतिदिनजगतिचलनेन संपाते स्यात् तदेकः संपात भगणस्तथाचत्रकाल एकमभ्रम एवेति
 खेष्टकाले यावन्तः सावना मध्यगतिचलनादुत्पन्ना स्तावन्तो मन्त्रमास्तसंपातागतभग- णसङ्ख्याकभवमाश्च ।","When the middle kala sign moves daily due to the movement of the world, then only one kala sign is equal to the time. During this time, the numbers of mantra asta and the number of signs that have arisen due to the time of setting.",4th/5th Century CE,Celestial Timekeeping,Daily Motion of Middle Kala Sign,Equivalence of Kala Sign to Time,Time and Celestial Motion,Daily Celestial Observations,This shloka corelates with NEP 2023 by highlighting the significance of observing specific cosmic events and planetary motions in astrophysics research.
130,"अथ तत्र सम्पातागतो मध्यार्कोऽपोष्ट काले यदि स्यात् तर्हि तदुत्पन्नका लखेति चयाणां योगे वास्तवं नाश्चत्रं सावनाहये ।
अवास्तवं तु अहर्गणतुल्या मभ्रमाः केवलमध्यार्कभ गणसङ्ख्याकभ्रमाः केवलमध्यार्ककलातुल्यासवचेति त्रयाणां योगरूपम् ।","If, in that case, the middle kala is below the time of setting, then it is said to be an increment. In their calculation, it is not considered a constellation during the time of setting. But it is only the difference between the numbers of the middle kala and the time of rising.",4th/5th Century CE,Celestial Increment,Middle Kala Below Time of Setting,Calculation Excluding Constellation at Setting,Celestial Time Calculation,Middle Kala and Time of Rising,This shloka corelates with NEP 2023 by recognizing the significance of precise time divisions in astrophysical research.
131,"वास्तवं नाच्चत्रं खण्डत्रयात्मकम् । 
अहर्गणः १ सं० भगणः १ संपातमध्यार्क कलोत्पन्नासवः १ | 
अवास्तवं तु० अहर्गणः ९ केवल भगणः १ के० मध्यमार्क कलाः १ ।","Indeed, the true constellation is trichotomous. The daytime kalas are 1 and 1, and the rising time of the middle kala is 1. But the unreal (kalas) in the daytime are 9, and only 1 of them is bhagana, (and) 1 kala in terms of the middle kala.",4th/5th Century CE,Trichotomous Constellation,Daytime Kalas and Middle Kala,Unreal Daytime Kalas,Celestial Configuration,Trichotomous Celestial Nature,This shloka corelates with NEP 2023 by emphasizing the importance of numerical components in precise astronomical calculations in astrophysics research.
132,"अत्र वास्तवस्य अवास्तवेन साकमन्तरे (३) सप्तविंशत्य यनांशकाले 
तिथ्यादिषु घटीचतुष्टयं किंचिन्न्यूनमधिकं वाऽन्तरं स्यात् ।","Here, in the real (constellation) and unreal (kalas), in the context of the lunar days, etc., there is a difference of less than or more than 24 parts in the four ghatis.",4th/5th Century CE,Real and Unreal Celestial Difference,Lunar Days and Constellation Difference,Less or More Than 24 Parts in Four Ghatis,Celestial Time Measurement,Real and Unreal Celestial Concepts,This shloka corelates with NEP 2023 by acknowledging the consideration of time differences in precise astronomical calculations in astrophysics research.
133,"वावास्तवयोर्वा स्वभिन्नं यत्किञ्चिदुदयान्तरं कल्प्यते न
 तद्दशेन कथ- ञ्चिदपि वास्तवाहर्गणसिद्धिः स्वार्षविरोधपत्रे ।","Indeed, between the real and unreal (constellations), whatever is imagined to be intermediate at sunrise, there is no accomplishment by the tenth part of that. The accomplishment of the real and unreal constellations contradicts the year.",4th/5th Century CE,Imaginary Intermediate Constellations,Lack of Accomplishment in Imagined Concepts,Contradiction Between Real and Unreal Constellations,Tenth Part of Imagined Concepts,Real vs. Unreal Constellations,This shloka corelates with NEP 2023 by emphasizing the need for precise adjustments in astrophysical calculations for accurate results.
134,"वस्तुतस्तु ये सौरा ये च चान्द्रा ये च सावमास्ते तु चन्द्रार्कयोः
 क्रान्तिवृत्ते स्वस्वगत्या चलनादिष्टकाले चोपपन्नाः ।","Indeed, in reality, the solar (constellations), the lunar (constellations), and the lunar days, as well as the solar and lunar paths, rise due to their own motion at the time of the change in motion.",4th/5th Century CE,Celestial Motions,"Solar, Lunar, and Lunar Day Motion",Rise Due to Own Motion,Celestial Paths and Motions,Motion-Induced Rise,This shloka corelates with NEP 2023 by acknowledging the importance of understanding celestial phenomena in modern astrophysical research.
135,"यथांऽशभो- गात् सौरं गतिकलाभोगात् सावनं चान्द्रं तयोर्द्वादशभागान्तरेणेसि
 परस्परं तेषामनुपातेनानयनं वास्तवमेवेष्टकाले ज्ञ ेयम् ।","Just as the solar motion, due to the enjoyment of motion in terms of kalas, and the lunar motion, indeed 12 parts apart, rise together, their convergence at that moment should be considered as real.",4th/5th Century CE,Celestial Convergence,Solar and Lunar Motion Enjoyment,Rise Together Due to Motion,Celestial Convergence at Motion,Motion-Induced Convergence,This shloka corelates with NEP 2023 by emphasizing the need for advanced computational techniques in modern astrophysical research.
136,"अत्रेदमप्यवधेयम् ।
 मध्यममानाशुतुल्या यत्र वास्तवारुवस्तत्र तदनुप्रातेन सावनाद्यम वास्तवमुदयासन्नकाले तो यः सृष्टिसौ- रथान्द्रैरधिमासावमैश्च निरच मध्यार्कोदय कालिकः साधितोऽहर्गणः स तु तद्गतिजनिरक्षकालोपलचितनिरञ्चमध्यार्कोदयकालंस- म्बन्धेनापि सिह वास्तव एव न व्हि सोऽस्त्यवास्तवमध्यम सावमेन ।","The region where the middle-sized moon is similar to the real and unreal (constellations), there the real sunrise and moonrise are closely connected at the time of accomplishment. But what is accomplished is the solar month, the lunar month, and the Adhimaasa. That is real, not the middle moon associated with the Savana.",4th/5th Century CE,Middle-Sized Moon Region,Real and Unreal Constellations,Closely Connected Sunrise and Moonrise,Accomplished Solar and Lunar Months,Real vs. Middle Moon,This shloka corelates with NEP 2023 by emphasizing the complexity in calculations and the need for advanced methodologies in astrophysical research.
137,"अत्र यः साधितोऽहर्गणः स तूदयकाले निरवयवो दृश्यते कथं तस्यं 
अवास्तवत्वम् “ मध्यार्कभुक्ता असवः"" इत्यादि “ तदन्त रम्”-इत्यन्तग्रम्यानीतोदयान्तरदानादयं स्फुटाहर्गणस्तद्रीत्या सावयवः सिद्ध्यति कथं तस्य वास्तवत्वम् ।","The one accomplished among the real constellations, that indeed appears as devoid of parts at the time of sunrise. How can its reality be established by the statement 'it is enjoyed by the middle moon' and others, and the clear accomplishment of the day and night (constellations) at the time of sunrise?",4th/5th Century CE,Accomplished Real Constellation,Devoid of Parts at Sunrise,Reality and Enjoyment by Middle Moon,Clear Accomplishment at Sunrise,Real Constellation Reality,This shloka corelates with NEP 2023 by acknowledging the significance of considering specific time influences in accurate astronomical calculations.
138,"अहो निरवयवो हि तदहर्गणः स कथं मूढैरुदयासनकाले स्वीक्रियते 
यस्तैर्मध्यम उच्यते स तृदयासत्रस्तन्मते, तद्दशादुदये कथं तत्र वारगणनया वारप्रवृत्तिः स्यात् ।","Indeed, the one without parts is the real constellation. How can it be accepted by the ignorant as 'middle' during the time of sunrise? That which is called 'middle' by those is only on the thirteenth day. How can there be a count of days there during the sunrise?",4th/5th Century CE,Real Constellation Without Parts,Ignorant Acceptance as 'Middle',Thirteenth Day Considered 'Middle',Count of Days at Sunrise,Real vs. Middle Constellation,This shloka corelates with NEP 2023 by highlighting the need for clarity in concepts related to time divisions and astronomical calculations in modern astrophysical research.
139,"निजेष्टवर्षगुणितान्यभीष्ट- वर्षोनवानीह भवन्ति तानि । स्वसौरवर्षी कुवासरा ये
सप्तोद्धृताः शेषमितं दिनाद्यम् ॥ २४ ॥","The years counted by the sun, moon, and lunar year are accomplished. Those seven extras, having 360 days, are completed in the remaining time.",4th/5th Century CE,"Sun, Moon, Lunar Year",Accomplishment of Years,Observance of Seven Extra Days,Completion in Remaining Time,"Sun, Moon, Lunar Correlation","This shloka corelates with NEP 2023 by emphasizing the importance of advanced mathematical techniques in modern astrophysical research, particularly in the calculation of accumulated days."
140,".""(१)वारोऽर्कतस्तत्र गतोऽब्दपः स्यात् तदग्रिमश्चेति सुधीभिरूह्यम् । अहर्गणं वर्षमुखात्(२) सुखार्थं
कृत्वा वदन्त्यानयनं ग्रहाणाम् ॥ २५ ॥","The solar year there is the same as the solar year here. The leading edge (of the Sun) is taken by the wise. To make a pleasant year's beginning for the sun, the astrologers say (it is done) for the planets.",4th/5th Century CE,Solar Year,Alignment with Solar Year,Leading Edge of the Sun,Pleasant Year's Beginning,Solar Year Alignment,"This shloka corelates with NEP 2023 by emphasizing the importance of specific astronomical events, such as the sun's entry into Aries, in accurate calculations and observations. According to NEP 2023, there is a focus on integrating traditional knowledge with modern scientific methods in astronomy."
141,"अहर्गणो मध्यमसावनेन
कृतञ्चलत्वात् स्फुटसावनस्य ।
तदुत्यखेटा उदयान्तरेण
हीनान्विताः संविहिताः फलेन ॥ ३० ॥","Due to the day motion of the middle kala, the clear (indication) of the motion of the sunrise. It (the day) is excluded due to the time of rising and is composed of a deficient element.",4th/5th Century CE,Day Motion of Middle Kala,Clear Indication of Sunrise,Exclusion of the Day at Sunrise,Composition of Deficient Element,Day Motion and Sunrise,This shloka corelates with NEP 2023 by emphasizing the importance of precision and standardized calculations in modern astrophysical research. The NEP encourages the use of accurate and verified traditional knowledge in astronomical studies.
142,"मध्यार्क भुक्ता असवो निरक्षे
ये ये च मध्यार्क कलासमानाः ॥ ३१ ॥""

","(Those stars) eaten by the middle kala, as well as those equal to the middle kala.",4th/5th Century CE,Middle Kala's Celestial Consumption,Celestial Objects Eaten by Middle Kala,Recognition of Celestial Objects Equal to Middle Kala,Middle Kala's Celestial Consumption,Celestial Objects Insights,This shloka corelates with NEP 2023 by emphasizing the importance of celestial visibility and motion studies during the night for accurate astronomical observations.
143,"तदन्तरं यत् स्फुटमध्ययोस्तद्-पिण्डयोः स्याद्विवरं गतिधनम् ।
रात्रासुभिराप्तलिप्ता हौना ग्रहाश्चेदसवोऽल्पकाः स्युः ॥ ३२ ॥","What is clear between the rise of the fixed and moving kala, there is a different motion of the celestial sphere. Covered by the night, the planets are slight; they are few.",4th/5th Century CE,Celestial Sphere Motion,Difference in Celestial Motion,Planets Covered by Night,Few and Slight Planets,Celestial Sphere Motion,This shloka corelates with NEP 2023 by emphasizing the importance of observational clarity in studying celestial bodies. NEP encourages the use of modern observational tools and technologies to enhance the understanding of diverse celestial motions.
144,"तदन्यथाऽऽढ्याश्च निजोदयैश्चेद्-
भुक्तासुपूर्वं विहितं तदानीम् ।
कृतं तथा स्याच्चरकर्ममिश्र
कर्म ग्रहाणामुदयान्तराख्यम् ” – इति ॥ ३३ ॥","Otherwise, when consumed by the sunrise and other times, the event arranged before is now accomplished. Similarly, the mixed action of actions and planetary motions at the time of sunrise.",4th/5th Century CE,Events at Sunrise,Accomplishment of Previous Arrangements,Mixed Actions and Planetary Motions,Sunrise Time Observations,Sunrise Events and Actions,This shloka corelates with NEP 2023 by highlighting the integration of traditional knowledge with modern scientific methods in studying planetary motion and its effects. NEP encourages collaborative research that combines ancient wisdom with contemporary approaches.
145,"यादौ कान्निवृत्तनाडीवृत्तसंपातरूपः स्थिर मैषादिः स्थिरा - खिनीमच त्रादिमध्यार्क युक्तवास्ति ।
अनन्तरं तस्य प्रवहपश्चिम- मणेन विषुत्राख्यस्वाहोरात्रवृत्तैकभ्रमाङ्गभ्रमः स्यात् तदैव सर्वका तिवृत्त देशानां भसंज्ञकानामपि स्वस्वाहोरात्र वृत्तकभ्रमात् स एवैको भम्रमः ।
स्वस्वा हो रात्रवृत्तं चक्रकलारूपतुल्यासु (१) भिरस्ति ।","In the beginning, like the winding and unwinding of a thread, a stable Maishadhi is attached to the middle kala. Afterward, its westward flow, known as Vishu, is connected like a wheel to the sun and moon. Similarly, in the cycle of days and nights, one rotation, named Vritta, by the westward flow of its own westward motion, is like the motion of the wheel.",4th/5th Century CE,Cycle of Days and Nights,Stability of Maishadhi,Connection to Sun and Moon,Westward Flow and Wheel Motion,Rotation in Days and Nights,This shloka corelates with NEP 2023 by emphasizing the need for comprehensive studies on the stability and intricate motion of celestial bodies during night-time observations. NEP encourages interdisciplinary research in the field of astrophysics to understand the complexities of celestial motion.
146,"अथ यदेको भस्य भ्रमस्तदा मध्यार्कचिह्नं चलक्रान्तिवृत्ते स्वमे-षादेः प्राक् चलितं किंचिन्न्यून मध्यार्क गति कलाभिः । निरचक्षिति- जे न तल्लग्नम् | (किन्तु तत्) तदधः किंचिन्न्यून गतिकलोत्पन्नका- लेनान्तरितमस्ति ।
यदा तु तच्चित्रं संपूर्णगतिकलाभिश्वलितं तदा तदुत्पन कालेन तत्रिरचोदयमानेनोर्ध्वं स्थिरमेषादिः स्वाहोरात्रवृत्ते गच्छति (तदां) तन्मध्यार्कचिह्नं च निरवचितिजस्यं स्यादेव ।
उदयाद्गतिकलाचलनेनैव पुनस्तदुदयकालस्य सावन दिवसत्वेनाङ्गी-कारात् ।","Due to the sunrise and others, the sun moves with the same rotation in the middle. By those alone, a ship moves by a favorable wind, as the sailors explain.",4th/5th Century CE,Solar Rotation and Sunrise,Movement of Sun with Rotation,Ship Movement by Favorable Wind,Sailors' Explanation,Solar Rotation and Ship Movement,"This shloka corelates with NEP 2023 as it underscores the significance of precise observations during celestial events, aligning with NEP's encouragement of advanced observational techniques for understanding diverse celestial motions."
147,".""(२)व्यचोदयाद्यैरसुभिर्भवृत्तेऽर्को मध्यगत्या चलितस्तदैव ।
तैरेव ननं प्रवानिलेन स नौयते व्यचकुने कहान्तः ॥","Therefore, what has been described as that, due to the solar equation and others, that difference (between mean and true Sun) in the movement of time is the only true form equal to the kalas. Thus, during the time of setting, what is the difference (between mean and true Sun) in the time of rising.",4th/5th Century CE,Solar Equation and Time Difference,True Form of Time Movement,Solar Equation and Kalas,Sunset and Sunrise Time Difference,Solar Equation and Celestial Time,"This shloka corelates with NEP 2023 by emphasizing the need for interdisciplinary studies, acknowledging the sun's influence on wind patterns during sunrise."
148,"अतो यदनुपातादे कसावनान्तर्गतनांचत्रं तत् तु केवलगतिक- लाधिकचक कलातुल्या सुरूपमवास्तवम् ।
एवं प्रतिसावन मे को भभ्भ्रमः सम्पातागतगत्युत्पन्नकालचेति ।","Therefore, due to the sunrise and others, the sun moves with the same rotation in the middle. By those alone, a ship moves by a favorable wind, as the sailors explain.",4th/5th Century CE,Solar Rotation and Sunrise,Movement of Sun with Rotation,Ship Movement by Favorable Wind,Sailors' Explanation,Solar Rotation and Ship Movement,"This shloka corelates with NEP 2023 by emphasizing the importance of accurate representation in observational studies during celestial events, such as eclipses."
149,"सौराब्दा ये सृष्टि (२) वक्ात् प्रयाता यावत् खीयं सौरवर्षस्य वक्तम् । निघ्नास्ते वै सृष्टिकल्पाधिमासै-
स्तत्रत्यैस्तैः सौरवर्षैर्विभक्ताः ॥ ७ ॥","Those that go, in the solar system, until the speech of the creation of the year, until the end of the solar year, they are divided by the solar years.",4th/5th Century CE,Solar Years Division,Speech of Solar Creation,Solar Year Division,Solar Varsha Observations,Solar Year Segmentation,This shloka correlates with the NEP's emphasis on fostering scientific temper and curiosity about natural phenomena. The observation of celestial events aligns with promoting scientific inquiry and exploration.
